id,amount,date,description,category,start date, period, end date
id0,123.33,2023-11-05,test,personal,,,
id0,29999,2022-04-23,yesyes,personal,,,
id0,1234.00,2024-01-01,121,241
id0,123.00,2022-01-01,vsf,personal
id0,124.00,2022-01-01,eee,personal
id666,666.66,2023-02-28,test,personal
id666,666.00,2024-01-01,hfowuf,wefkjwhbf
id666,666.00,2024-01-01,aroifhoer,ljkaref
id0,666.00,,wefwerw,,2024-01-01,30,2024-12-31
id0,666.00,,wefwerw,,2024-01-01,30,2024-12-31
id0,666.00,,wefwerw,,2024-01-01,30,2024-12-31
id0,666.00,,wefwerw,,2024-01-01,30,2024-12-31
id0,666.00,,wefwerw,,2024-01-01,30,2024-12-31
id0,666.00,,wefwerw,,2024-01-01,30,2024-12-31
id0,666.00,,wefwerw,,2024-01-01,30,2024-12-31
id0,666.00,,wefwerw,,2024-01-01,30,2024-12-31
id0,666.00,,wefwerw,,2024-01-01,30,2024-12-31
id0,666.00,,wefwerw,,2024-01-01,30,2024-12-31
id0,666.00,,wefwerw,,2024-01-01,30,2024-12-31
id0,666.00,,wefwerw,,2024-01-01,30,2024-12-31
